license_plate,acAvailable,standingCapacity,depotID,vehicle_label,id,seatingCapacity,vehicleType
GJ05BX3223,No,18,2003,M25,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3239,No,18,2003,M28,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3244,No,18,2003,M29,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3245,No,18,2003,M30,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3260,No,18,2003,M33,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3263,No,18,2003,M34,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3264,No,18,2003,M35,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3273,No,18,2003,M37,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3302,No,18,2003,M40,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3311,No,18,2003,M41,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3352,No,18,2003,M42,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3366,No,18,2003,M43,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3282,No,18,2003,M38,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3299,No,18,2003,M39,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3368,No,18,2003,M44,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3399,No,18,2003,M47,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3373,No,18,2003,M45,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3388,No,18,2003,M46,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3405,No,18,2003,M48,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3433,No,18,2003,M51,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3436,No,18,2003,M52,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
GJ05BX3446,No,18,2003,M54,fdde3e50-29d1-4046-a5a6-3ec2f68a55b6,30,City Bus
