stop_id,id,stop_name,location.coordinates,location.type
2453,7ec3d577-2f35-48a0-8293-e343f1c63e15,SIDDHI VINAYAK TEMPLE,"[72.843331, 21.179912]",Point
2454,7ec3d577-2f35-48a0-8293-e343f1c63e15,KHODIYARNAGAR,"[72.845776, 21.177614]",Point
2455,7ec3d577-2f35-48a0-8293-e343f1c63e15,SANJAY NAGAR CIRCLE,"[72.860762, 21.169985]",Point
2456,7ec3d577-2f35-48a0-8293-e343f1c63e15,SMC WARD OFFICE LIMBAYAT,"[72.857522, 21.165783]",Point
2501,7ec3d577-2f35-48a0-8293-e343f1c63e15,KHATODARA WADI,"[72.8252, 21.178195]",Point
2502,7ec3d577-2f35-48a0-8293-e343f1c63e15,KHATODARA GIDC,"[72.826497, 21.175301]",Point
2341,7ec3d577-2f35-48a0-8293-e343f1c63e15,AAI MATA ROAD,"[72.860429, 21.192419]",Point
2359,7ec3d577-2f35-48a0-8293-e343f1c63e15,BHAVANI CIRCLE,"[72.847382, 21.217968]",Point
2362,7ec3d577-2f35-48a0-8293-e343f1c63e15,RAMNAGAR SOCIETY,"[72.850922, 21.217917]",Point
2363,7ec3d577-2f35-48a0-8293-e343f1c63e15,SARDAR SMRUTI BHAVAN,"[72.851111, 21.21482]",Point
2364,7ec3d577-2f35-48a0-8293-e343f1c63e15,SARDAR CHOWK,"[72.85127, 21.211592]",Point
2401,7ec3d577-2f35-48a0-8293-e343f1c63e15,SAI DARSHAN MARKET,"[72.843074, 21.187432]",Point
2402,7ec3d577-2f35-48a0-8293-e343f1c63e15,PANCHSHEEL NAGAR ANJANA,"[72.846082, 21.186405]",Point
2403,7ec3d577-2f35-48a0-8293-e343f1c63e15,NAGAR PRATHMIK SCHOOL ANJANA,"[72.85014, 21.185065]",Point
2404,7ec3d577-2f35-48a0-8293-e343f1c63e15,HARI DARSHAN SOCIETY GODADARA,"[72.870825, 21.167428]",Point
2405,7ec3d577-2f35-48a0-8293-e343f1c63e15,ANJANA HEALTH CENTRE,"[72.853155, 21.183974]",Point
2406,7ec3d577-2f35-48a0-8293-e343f1c63e15,AZAD CHOWK,"[72.854909, 21.181728]",Point
2407,7ec3d577-2f35-48a0-8293-e343f1c63e15,MITHIKHADI WARD OFFICE,"[72.855622, 21.179035]",Point
2408,7ec3d577-2f35-48a0-8293-e343f1c63e15,LIMBAYAT HEALTH CENTRE,"[72.856507, 21.176004]",Point
2409,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHIVAJI NAGAR,"[72.858787, 21.170674]",Point
2410,7ec3d577-2f35-48a0-8293-e343f1c63e15,NILGIRI CIRCLE,"[72.859183, 21.168413]",Point
2411,7ec3d577-2f35-48a0-8293-e343f1c63e15,SHREE NATHJI SOCIETY GODADARA,"[72.863587, 21.167398]",Point
2412,7ec3d577-2f35-48a0-8293-e343f1c63e15,RAM NAGAR GODADARA,"[72.868969, 21.167485]",Point
2413,7ec3d577-2f35-48a0-8293-e343f1c63e15,MODEL TOWN DUMBHAL,"[72.86086, 21.187929]",Point
2414,7ec3d577-2f35-48a0-8293-e343f1c63e15,NEMINATH NAGAR DUMBHAL,"[72.862831, 21.186053]",Point
2415,7ec3d577-2f35-48a0-8293-e343f1c63e15,VIDHATA TOWNSHIP PARVAT,"[72.864251, 21.183967]",Point
2416,7ec3d577-2f35-48a0-8293-e343f1c63e15,PARVAT GAM,"[72.866743, 21.180797]",Point
2218,7ec3d577-2f35-48a0-8293-e343f1c63e15,TRILOK SOCIETY,"[72.818283, 21.220734]",Point
2219,7ec3d577-2f35-48a0-8293-e343f1c63e15,KATARGAM POLICE STATION,"[72.83033, 21.216651]",Point
2220,7ec3d577-2f35-48a0-8293-e343f1c63e15,BAL ASHRAM,"[72.832021, 21.218826]",Point
2221,7ec3d577-2f35-48a0-8293-e343f1c63e15,KATARGAM FIRE STATION,"[72.832574, 21.222155]",Point
2222,7ec3d577-2f35-48a0-8293-e343f1c63e15,KATARGAM,"[72.832464, 21.224693]",Point
2223,7ec3d577-2f35-48a0-8293-e343f1c63e15,KANTARESHWAR MAHADEV,"[72.831011, 21.226767]",Point
2224,7ec3d577-2f35-48a0-8293-e343f1c63e15,HARE KRISHNA CIRCLE,"[72.828566, 21.232727]",Point
2225,7ec3d577-2f35-48a0-8293-e343f1c63e15,RADADYA VIDHYALAYA,"[72.827086, 21.235002]",Point
2226,7ec3d577-2f35-48a0-8293-e343f1c63e15,LALITA CIRCLE,"[72.829989, 21.229887]",Point
